Epoch 1/100, Train loss: 0.617, Test accuracy: 0.814, Test loss: 0.497
Epoch 2/100, Train loss: 0.429, Test accuracy: 0.837, Test loss: 0.451
Epoch 3/100, Train loss: 0.384, Test accuracy: 0.865, Test loss: 0.381
Epoch 4/100, Train loss: 0.354, Test accuracy: 0.866, Test loss: 0.371
Epoch 5/100, Train loss: 0.333, Test accuracy: 0.866, Test loss: 0.370
Epoch 6/100, Train loss: 0.314, Test accuracy: 0.865, Test loss: 0.364
Epoch 7/100, Train loss: 0.302, Test accuracy: 0.865, Test loss: 0.375
Epoch 8/100, Train loss: 0.288, Test accuracy: 0.868, Test loss: 0.366
Epoch 9/100, Train loss: 0.274, Test accuracy: 0.881, Test loss: 0.339
Epoch 10/100, Train loss: 0.267, Test accuracy: 0.880, Test loss: 0.340
Epoch 11/100, Train loss: 0.256, Test accuracy: 0.866, Test loss: 0.370
Epoch 12/100, Train loss: 0.244, Test accuracy: 0.883, Test loss: 0.351
Epoch 13/100, Train loss: 0.235, Test accuracy: 0.879, Test loss: 0.362
Epoch 14/100, Train loss: 0.227, Test accuracy: 0.879, Test loss: 0.353
Epoch 15/100, Train loss: 0.220, Test accuracy: 0.875, Test loss: 0.364
Epoch 16/100, Train loss: 0.213, Test accuracy: 0.883, Test loss: 0.359
Epoch 17/100, Train loss: 0.204, Test accuracy: 0.878, Test loss: 0.379
Epoch 18/100, Train loss: 0.194, Test accuracy: 0.871, Test loss: 0.391
Epoch 19/100, Train loss: 0.189, Test accuracy: 0.878, Test loss: 0.385
Epoch 20/100, Train loss: 0.188, Test accuracy: 0.877, Test loss: 0.388
Epoch 21/100, Train loss: 0.179, Test accuracy: 0.877, Test loss: 0.405
Epoch 22/100, Train loss: 0.171, Test accuracy: 0.879, Test loss: 0.412
Epoch 23/100, Train loss: 0.175, Test accuracy: 0.876, Test loss: 0.424
Epoch 24/100, Train loss: 0.165, Test accuracy: 0.871, Test loss: 0.463
Epoch 25/100, Train loss: 0.161, Test accuracy: 0.869, Test loss: 0.471
Epoch 26/100, Train loss: 0.158, Test accuracy: 0.876, Test loss: 0.455
Epoch 27/100, Train loss: 0.157, Test accuracy: 0.876, Test loss: 0.467
Epoch 28/100, Train loss: 0.149, Test accuracy: 0.869, Test loss: 0.486
Epoch 29/100, Train loss: 0.147, Test accuracy: 0.870, Test loss: 0.505
Epoch 30/100, Train loss: 0.141, Test accuracy: 0.874, Test loss: 0.475
Epoch 31/100, Train loss: 0.136, Test accuracy: 0.876, Test loss: 0.459
Epoch 32/100, Train loss: 0.128, Test accuracy: 0.874, Test loss: 0.490
Epoch 33/100, Train loss: 0.125, Test accuracy: 0.871, Test loss: 0.549
Epoch 34/100, Train loss: 0.122, Test accuracy: 0.876, Test loss: 0.518
